iso_code,country,current_population,updated_datetime
GUY,Guyana,790041,55:28.5
BTN,Bhutan,779243,55:28.5
SLB,Solomon Islands,702658,55:28.5
MAC,Macau,657654,55:28.5
LUX,Luxembourg,634102,55:28.5
MNE,Montenegro,628053,55:28.5
ESH,Western Sahara,610765,55:28.5
SUR,Suriname,591402,55:28.5
CPV,Cape Verde,561443,55:28.5
MDV,Maldives,543275,55:28.5
MLT,Malta,442670,55:28.5
BRN,Brunei,441219,55:28.5
BLZ,Belize,404345,55:28.5
BHS,Bahamas,396628,55:28.5
MTQ,Martinique,374802,55:28.5
ISL,Iceland,343182,55:28.5
VUT,Vanuatu,313895,55:28.5
NCL,New Caledonia,288019,55:28.5
BRB,Barbados,287683,55:28.5
PYF,French Polynesia,282416,55:28.5
MYT,Mayotte,279003,55:28.5
STP,Sao Tome And Principe,223026,55:28.5
WSM,Samoa,200035,55:28.5
LCA,Saint Lucia,184343,55:28.5
GUM,Guam,170065,55:28.5
CUW,Curacao,164741,55:28.5
KIR,Kiribati,121250,55:28.5
FSM,Micronesia,116169,55:28.5
GRD,Grenada,112993,55:28.5
VCT,Saint Vincent And The Grenadines,111263,55:28.5
ABW,Aruba,107204,55:28.5
TON,Tonga,106675,55:28.5
VIR,United States Virgin Islands,104254,55:28.5
SYC,Seychelles,98880,55:28.5
ATG,Antigua And Barbuda,98674,55:28.5
IMN,Isle Of Man,85410,55:28.5
AND,Andorra,77355,55:28.5
DMA,Dominica,72167,55:28.5
CYM,Cayman Islands,66497,55:28.5
BMU,Bermuda,62090,55:28.5
MHL,Marshall Islands,59610,55:28.5
MNP,Northern Mariana Islands,57917,55:28.5
GRL,Greenland,56877,55:28.5
ASM,American Samoa,55100,55:28.5
KNA,Saint Kitts And Nevis,53544,55:28.5
FRO,Faroe Islands,49049,55:28.5
MAF,Sint Maarten,43412,55:28.5
MCO,Monaco,39511,55:28.5
MAF,Saint Martin,39234,55:28.5
TCA,Turks And Caicos Islands,39231,55:28.5
LIE,Liechtenstein,38250,55:28.5
SMR,San Marino,34017,55:28.5
GIB,Gibraltar,33698,55:28.5
PLW,Palau,18169,55:28.5
COK,Cook Islands,17565,55:28.5
AIA,Anguilla,15117,55:28.5
TUV,Tuvalu,11931,55:28.5
WLF,Wallis And Futuna,11094,55:28.5
NRU,Nauru,10876,55:28.5
BL,Saint Barthelemy,9907,55:28.5
SPM,Saint Pierre And Miquelon,5766,55:28.5
MSR,Montserrat,4977,55:28.5
FLK,Falkland Islands,3533,55:28.5
NIU,Niue,1619,55:28.5
TKL,Tokelau,1373,55:28.5
VAT,Vatican City,800,55:28.5
